,Unnamed: 0,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
455255,634542,1987,28600441,Michael Jordan,CHI,"JAN 20, 1987",CHI vs. MIL,W,39,11,22.0,0.5,0.0,0.0,0.0,9,10.0,0.9,2.0,5.0,7.0,2.0,2.0,1.0,3.0,2.0,31,,0
455256,634496,1987,28700016,Michael Jordan,CHI,"NOV 07, 1987",CHI vs. PHL,W,38,15,25.0,0.6,0.0,0.0,0.0,6,10.0,0.6,2.0,3.0,5.0,3.0,6.0,4.0,2.0,3.0,36,,0
474196,634388,1988,28800338,Michael Jordan,CHI,"DEC 30, 1988",CHI @ IND,W,37,13,26.0,0.5,0.0,0.0,0.0,5,5.0,1.0,2.0,5.0,7.0,4.0,4.0,2.0,2.0,1.0,31,,0
474197,634411,1988,28800033,Michael Jordan,CHI,"NOV 09, 1988",CHI @ BOS,W,42,18,33.0,0.545,2.0,4.0,0.5,14,16.0,0.875,0.0,3.0,3.0,2.0,9.0,2.0,2.0,4.0,52,,0
474198,634409,1988,28800060,Michael Jordan,CHI,"NOV 12, 1988",CHI @ NJN,L,43,17,31.0,0.548,0.0,3.0,0.0,8,12.0,0.667,2.0,5.0,7.0,6.0,3.0,1.0,1.0,2.0,42,,0
474199,634408,1988,28800067,Michael Jordan,CHI,"NOV 15, 1988",CHI vs. PHL,W,43,14,27.0,0.519,0.0,0.0,0.0,5,6.0,0.833,1.0,5.0,6.0,6.0,5.0,1.0,3.0,2.0,33,,0
474200,634407,1988,28800080,Michael Jordan,CHI,"NOV 16, 1988",CHI @ PHL,L,43,24,29.0,0.828,0.0,1.0,0.0,4,4.0,1.0,3.0,6.0,9.0,1.0,4.0,2.0,4.0,2.0,52,,0
474201,634406,1988,28800089,Michael Jordan,CHI,"NOV 18, 1988",CHI vs. ATL,W,49,12,21.0,0.571,0.0,0.0,0.0,10,13.0,0.769,1.0,8.0,9.0,9.0,1.0,0.0,6.0,4.0,34,,0
474202,634405,1988,28800109,Michael Jordan,CHI,"NOV 22, 1988",CHI @ SAC,W,38,16,20.0,0.8,0.0,0.0,0.0,0,0.0,0.0,1.0,10.0,11.0,8.0,1.0,1.0,2.0,3.0,32,,0
474203,634404,1988,28800123,Michael Jordan,CHI,"NOV 23, 1988",CHI @ LAC,L,41,7,15.0,0.467,1.0,2.0,0.5,11,12.0,0.917,2.0,10.0,12.0,7.0,5.0,4.0,6.0,4.0,26,,0
474204,634403,1988,28800138,Michael Jordan,CHI,"NOV 26, 1988",CHI @ DEN,L,44,19,27.0,0.704,3.0,5.0,0.6,11,14.0,0.786,2.0,9.0,11.0,7.0,1.0,0.0,6.0,3.0,52,,0
